X	Y_Exp	Y_Fit	Residual	Comp_1	Comp_2
0.000000e+00	2.133481e-01	1.830197e-01	3.032846e-02	1.118799e-04	1.829078e-01
1.000000e-01	1.831179e-01	1.851217e-01	-2.003772e-03	1.398634e-04	1.849818e-01
2.000000e-01	1.730809e-01	1.872422e-01	-1.416127e-02	1.743401e-04	1.870679e-01
3.000000e-01	1.769048e-01	1.893824e-01	-1.247753e-02	2.166865e-04	1.891657e-01
4.000000e-01	1.882575e-01	1.915438e-01	-3.286296e-03	2.685392e-04	1.912752e-01
5.000000e-01	2.008065e-01	1.937282e-01	7.078384e-03	3.318369e-04	1.933963e-01
6.000000e-01	1.818032e-01	1.959377e-01	-1.413454e-02	4.088679e-04	1.955288e-01
7.000000e-01	1.856984e-01	1.981750e-01	-1.247655e-02	5.023226e-04	1.976726e-01
8.000000e-01	1.828568e-01	2.004429e-01	-1.758610e-02	6.153520e-04	1.998276e-01
9.000000e-01	1.583926e-01	2.027452e-01	-4.435259e-02	7.516329e-04	2.019935e-01
1.000000e+00	1.447002e-01	2.050858e-01	-6.038557e-02	9.154387e-04	2.041703e-01
1.100000e+00	1.760658e-01	2.074695e-01	-3.140370e-02	1.111716e-03	2.063578e-01
1.200000e+00	1.714943e-01	2.099020e-01	-3.840777e-02	1.346170e-03	2.085559e-01
1.300000e+00	1.998496e-01	2.123896e-01	-1.254001e-02	1.625351e-03	2.107643e-01
1.400000e+00	2.059018e-01	2.149396e-01	-9.037782e-03	1.956752e-03	2.129829e-01
1.500000e+00	2.070124e-01	2.175604e-01	-1.054807e-02	2.348906e-03	2.152115e-01
1.600000e+00	1.852072e-01	2.202615e-01	-3.505437e-02	2.811491e-03	2.174501e-01
1.700000e+00	1.956983e-01	2.230537e-01	-2.735539e-02	3.355437e-03	2.196983e-01
1.800000e+00	2.085403e-01	2.259490e-01	-1.740874e-02	3.993032e-03	2.219560e-01
1.900000e+00	1.852793e-01	2.289611e-01	-4.368180e-02	4.738029e-03	2.242231e-01
2.000000e+00	1.883589e-01	2.321050e-01	-4.374615e-02	5.605752e-03	2.264993e-01
2.100000e+00	2.148858e-01	2.353977e-01	-2.051185e-02	6.613196e-03	2.287845e-01
